FullHaul,DumpingTime,EmptyHaul,LoadingTime,CycleDistance,TotalCycle,MinedTonnes
14.5,6.4,13.5,2.1,7.2,36.6,1081.2
16.8,3.5,10.2,3,7.7,44.4,270.3
13.7,1.2,21,3.1,8.5,42.8,405.45
3.1,1.3,0.4,0.8,2.6,5.6,270.3
14.2,0.2,13.3,2.1,7.7,30.3,675.75
16.5,0.3,10.8,2.3,9,34,2162.4
14.6,0.3,10.7,2.2,8.1,30.8,810.9
17.9,3.1,8.9,2.4,7.6,32.5,135.15
22.7,3.2,13.8,2.8,9,45.2,675.75
18,1.1,11.2,2.1,8.3,34.3,1081.2
19,0.2,15.9,3.1,8.7,40.7,540.6
13.4,0.2,8,1.5,2,23.1,405.45
16.7,0.1,23.1,2.2,7.6,42.2,270.3
10.2,0.4,24.3,1,6.8,41.2,1216.35
11.4,0.6,13.3,2.8,6.3,28.1,135.15
13.1,0.1,3.3,1.9,6.5,18.4,405.45
16.3,0.3,10.6,2.1,7.4,30.1,540.6
16,0.3,12.4,2.2,8,32.2,2162.4
14.2,2.5,16.3,1.7,13.5,37.1,675.75
17.5,3.8,10.5,2.2,6.9,36.1,946.05
17.7,0.2,13.7,2,6.1,33.6,405.45
13.9,2.7,9.2,3.9,7,32.4,270.3
22.7,0.2,6.5,5,9,37.9,270.3
7,6.1,8.1,5.6,5.6,27.2,270.3
12.6,0.3,20.1,2.1,7.5,35.4,675.75
18.3,0.2,19.8,2.8,6.8,41.1,946.05
12,0.2,15.2,1.5,6.4,29,1216.35
12.1,2.8,6.3,2.7,6.7,27.2,405.45
11.9,2.1,12.8,2.3,7.3,30.7,1351.5
13,1.1,10.6,3.1,8,27.9,405.45
15,1.7,14.2,2.5,7.4,37.1,540.6
15,0.2,10.3,2.2,8.2,32.8,2162.4
14.6,2.2,10.8,2.5,7.1,30.2,405.45
13,3.1,15.4,2.9,8.3,35.3,405.45
15.6,0.3,17.8,2.6,6.3,36.5,1756.95
13.8,2.7,11.3,3.3,8.6,34.2,675.75
14.9,0.2,14,2.1,7.7,31.4,675.75
13,2.7,7.8,2.2,8.6,29.8,405.45
15.5,0.2,8.7,0.8,5.4,26.3,946.05
13.6,3.3,3.2,3.6,5.7,23.8,270.3
12.8,1.7,11.4,2.9,7.8,30.5,1621.8
11.2,0.3,10.5,1.4,8.8,26.7,1486.65
12.7,0.8,8.5,3.3,7.5,28.3,810.9
14,0.2,11,1.4,7.7,29.7,2297.55
12.4,1.7,17.9,2.9,7.6,37,2027.25
12.8,0.3,10.1,1.2,6.8,28.2,1216.35
16.3,3.4,5,2.5,10.2,27.3,270.3
14.3,0.3,17.1,3.5,4.7,35.2,675.75
13.7,0.1,11.6,2.8,5.2,28.4,540.6
11.9,3.5,15.4,3.8,6.9,35.4,2027.25
11.4,2.6,22.6,2.9,7,41.6,540.6
8,0.1,10,1.1,2.4,19.2,1351.5
12.2,0.1,10.1,2,6.9,24.5,810.9
10.8,1.2,12.1,2.3,6.1,26.5,946.05
15.7,0.3,12.7,1.8,6.7,30.9,810.9
14.2,0.5,12.4,3.2,6.1,31.9,540.6
16.2,0.2,17,2.9,7.3,36.3,540.6
13.6,1.1,9.9,2.9,7.6,29,540.6
12.2,0.9,16.4,2.3,4.2,31.8,270.3
19,0.3,5.7,1,4.2,26,135.15
11.6,3.9,7.2,3,6.8,28.3,1216.35
16.3,0.3,11.6,1.4,7.4,31.3,1486.65
12.9,2.2,16.5,2.6,7.9,35.3,2027.25
18.5,0.3,10.2,3,8.7,32.3,810.9
16,0.2,10.9,2.6,4.4,29.7,135.15
16,0.1,6,2.9,4.4,25,270.3
14.9,0.1,14.9,2.2,6.8,32.2,1486.65
18.3,0.4,10.2,3.2,8.8,34.4,946.05
14.7,0.1,14,2.6,8,43.9,270.3
10.2,0.6,21,3.2,6.3,37,946.05
13.5,0.3,31,2.7,5.1,47.5,270.3
17.2,0.1,6.4,3.3,7.8,31,270.3
7.4,0.1,6.8,1,2.7,15.3,1216.35
16.4,0.2,14.9,3.2,7,34.7,135.15
13.2,0.1,6.3,6.9,3.9,26.5,135.15
13.1,0.1,14.9,2.4,5,30.5,540.6
12.8,0.2,8.7,1.8,6.1,24.3,270.3
12.8,3.3,19,3.9,8.2,42.4,540.6
11.4,0.5,54.4,4.9,7.7,72.1,135.15
13.8,0.3,2.7,3,7.3,22.1,540.6
12.5,2.3,9.2,2.5,7.6,28.2,1351.5
7.7,1.3,9.8,3.8,4.2,22.7,405.45
14.4,0.1,13,4.5,7.5,32,675.75
16,0.2,14.8,3.5,8,34.9,810.9
16.4,0.3,21.5,2.8,7.3,44,1081.2
16.4,0.3,16.4,3,7,39.3,1351.5
12.6,2.2,21.9,3.1,7.8,41,946.05
7.3,0.1,14.5,0.7,2.5,24.8,675.75
15.4,0.2,16.6,2,7.2,38.6,1621.8
15.2,3.1,13.9,3.1,8.3,37,405.45
12.3,2.7,10.1,2.3,6.4,28.4,1216.35
17.3,2.6,31.7,3.6,6.4,55.2,270.3
21.8,0.1,19.7,2.6,6.4,44.2,270.3
7.5,4.1,13.2,3.2,5.6,33.2,810.9
11.3,0.2,7.3,2.4,5.7,22.9,1756.95
17.5,2.6,11.9,2.4,7.3,36.4,540.6
13.9,3.2,20.5,3.1,8.3,42.4,1756.95
11.2,0.1,11.4,3.4,7.5,29.7,540.6
15.4,0.3,11.5,3.3,10,34.5,810.9
12.2,0.4,6.6,3.6,6,22.8,270.3
11.3,2.6,13.3,3,7.9,32,2162.4
10.6,0.2,8.2,3.3,8.6,22.3,405.45
11.4,1.5,14,3.4,7.6,33.9,1756.95
15,0.1,8,2.1,7.9,26.1,946.05
10.7,3.5,9.7,3.2,7.1,29.5,2703
13.9,1.1,8.8,1.1,4.7,25.2,540.6
16.6,0.2,12.5,3.2,5,33.9,1756.95
6.9,0.2,15.2,3.9,6,26.2,270.3
14.3,1.9,5.8,3.1,6.2,26.7,270.3
12.6,0.2,11.6,4.1,4.3,28.5,1081.2
12.7,4.3,6,3.5,6.2,26.7,405.45
14,2.3,6.4,4.7,8.5,28.5,405.45
15.6,0.2,13.8,2.6,6.1,32.2,675.75
12.4,2.4,8.4,2.3,8,26.4,675.75
23.8,2.2,51.6,2.4,7.6,80,135.15
9.7,3.4,62.7,2.4,8.3,78.2,135.15
16.2,3,11.7,2.6,10.5,34.3,540.6
14.8,2.2,12.8,3.4,7.1,33.3,810.9
14.6,0.2,10.4,3.2,8.6,32.9,135.15
14.6,0.2,16.2,2.7,7.1,34.1,1081.2
12.7,2.9,8.9,3,4.4,27.5,405.45
19.8,1,26.1,2.3,4.3,49.2,135.15
15.5,0.1,10.5,2.1,6.5,29.6,810.9
12.4,2,12.1,2.6,7.2,30.8,675.75
12.5,3.9,10.9,4.2,8.6,31.6,135.15
15.1,0.2,13.6,2.6,8.2,31.6,675.75
12.2,3.1,13.5,3.7,8,32.7,540.6
17.2,0.1,12.7,0.6,7.4,31,540.6
13.4,0.9,5.6,3.1,8.4,25.7,270.3
10.3,0.1,10.2,1.5,4.4,23.4,3108.45
15.5,1.3,34.8,2.6,16.6,69.6,270.3
13.9,0.2,9.2,2.2,7,29.7,2432.7
14.4,2.4,7.7,3.2,8.6,30.1,270.3
14.9,0.4,17.4,3.4,6.5,36.6,675.75
16.5,0.1,14.4,2.9,8.6,35.3,270.3
17.9,0.3,37.9,2.7,4.2,58.8,270.3
16.7,0.5,15.8,3.6,4.2,36.6,1081.2
16.3,0.2,13.1,3.6,8.2,34.5,2162.4
7.2,0.1,13.3,1.9,2.8,22.6,1621.8
9.3,0.7,20.1,3.6,4.2,33.7,135.15
11.6,1.7,11.1,3.2,7.4,28.2,2297.55
15.7,0.8,7.9,2,5.4,26.5,405.45
15.1,0.2,11.9,3.1,8.8,31.4,1892.1
14.7,0.6,7.3,4,4.2,26.6,675.75
10.6,0.2,9,3,8.6,24.8,540.6
15.5,0.1,13.1,2.8,7.9,31.9,1486.65
15.6,0.3,13.3,1.1,7.3,30.4,405.45
13.1,0.2,8.1,2.5,5.2,24.1,675.75
16.9,0.2,12.2,1.7,8.7,31,405.45
19.6,0.2,15.1,2,8,37.4,810.9
7.1,0.2,11.1,4.9,8.6,28,135.15
17.7,0.2,9.6,1.4,8.1,31.3,1621.8
14.6,0.5,5.9,3.2,7.1,24.2,270.3
12.9,0.2,26.5,1.3,4.2,40.9,270.3
12,0.2,11.3,2.7,5.4,26.2,405.45
12.1,0.1,7.2,3.2,3.6,22.6,270.3
10.7,3.9,14.2,5.4,8.4,35.8,405.45
5,13.4,7.2,2.4,3.8,29.7,2567.85
13.9,0.2,19.6,3.3,6,37,270.3
13.2,2.8,14,4.7,4,34.7,135.15
12.9,3.6,8.8,4.5,5,29.8,270.3
11.2,2,17.7,3.8,3.5,34.7,405.45
18.9,0.5,8.4,4,7.2,32.5,270.3
14.2,0.4,17.3,2,7.2,34.2,405.45
15.1,0.2,9.8,2.6,4.3,27.7,135.15
15.7,0.1,12.5,4,8.2,33.5,1621.8
14.2,2.6,13.2,3.3,6.9,33.6,675.75
13.3,3.7,12.8,3,6.5,33,540.6
14.6,0.2,5.4,1.8,7.6,23.7,1216.35
12.8,0.2,12.2,1.7,4.4,27.4,2297.55
13.3,0.4,16.7,4.3,7.6,34.8,1621.8
14.3,0.2,6.8,2.1,4,23.4,270.3
16.6,0.1,10.2,3.6,4.2,30.5,675.75
15,6.2,25.5,3.3,10.1,51.9,135.15
13.8,0.2,10.7,2.2,6.5,29.8,1621.8
15,0.6,22.3,1.8,6.1,39.7,675.75
16.2,0.3,9.4,2.2,6.7,28.2,1486.65
17.7,0.2,5.7,1.4,8.7,25.1,540.6
13.5,0.1,12.5,1.8,5.3,27.9,675.75
14.4,2.5,13.5,1.8,7.4,34.2,270.3
13.1,2.2,10.1,2.8,6.6,28.2,270.3
0.8,0.1,16.4,1,6.2,19,946.05
0.1,0.1,24.7,3.5,8.6,28.8,135.15
6.7,1.9,7.5,1.7,7.3,17.8,540.6
0.3,0.1,13,4.9,6.9,18.8,405.45
0.3,0.2,11.9,1.9,5.6,14.4,405.45
17.4,0.5,13.7,2.2,8.6,34.5,810.9
12.2,0.3,17.3,2.6,3.9,32.4,540.6
15.6,0.1,8.9,1.6,4,26.2,270.3
15.1,2.3,9.7,3.6,6.9,30.7,540.6
12.1,0.1,8.7,3,4.8,24.6,1621.8
16.6,2.9,15.6,3.1,7.4,38.5,1216.35
7.8,1.4,4.8,2.2,4.7,16.2,675.75
7.2,1.4,0.2,3.5,8.5,12.4,405.45
13.4,3,12.8,2.8,7.7,32.7,1216.35
16.1,2.9,16.4,2.9,8.2,38.6,2027.25
12.4,3.7,10.4,2.8,7.5,31.2,2297.55
8.2,0.2,6.8,1.8,3,17.8,540.6
16.5,0.1,12.6,3.1,8.4,32.3,135.15
15.4,0.1,11.8,2.8,5.6,30.6,1621.8
17.5,0.1,13.8,2.6,6.8,34.4,1756.95
16.4,0.1,2.6,2.2,7.9,21.3,135.15
0.3,0.3,28.8,4.3,7.9,34.7,1081.2
19.1,0.1,38.5,0.3,3.8,58,135.15
12.8,3.7,10.2,3.1,7.6,31.3,1756.95
13.8,2.7,25,3.8,6.3,45.3,270.3
13.8,0.7,11.7,2.1,6.3,29.7,1756.95
13.4,0.2,12.5,2.5,5.2,29.1,405.45
15.2,0.2,11.1,3,3.3,29.5,135.15
19.8,0.3,4.8,2.6,4,27.5,540.6
15,0.3,9.9,1.9,3.9,27.1,405.45
12.6,1.7,9.5,3.1,7.1,27.6,675.75
8,0.1,3.6,2.6,4.5,14.5,1351.5
13,2,13.4,3,8.2,31.7,1351.5
14.2,1.4,10.5,3.3,7.3,29.5,1081.2
17.4,0.2,11,2.9,4.2,31.5,540.6
17.4,0.4,19.9,3.4,4.2,41.1,270.3
12.7,3,12.7,3.7,6.7,33.1,675.75
13.7,1.7,11.5,3.9,8.9,32.7,270.3
13.7,0.2,10.1,2.3,5,26.3,540.6
15.5,1.2,5.5,3.4,6.1,25.6,405.45
15.9,0.2,11.7,2.4,8.2,30.9,1081.2
13,2.9,15.2,4.3,7.8,36.4,1351.5
15.2,0.1,12.9,5.5,7.8,33.7,270.3
17,0.2,11.7,2.7,6,31.7,540.6
13.9,0.1,12.7,3.6,3.3,30.3,135.15
12.6,0.2,17.9,4.8,4.2,35.5,135.15
13.5,0.7,15.7,3.9,4.2,33.8,135.15
14.4,3.4,8.8,3.3,7.5,30.4,675.75
14.6,5.1,38.5,5,6.3,64.1,270.3
6.5,1.1,9,2.5,3.3,19.2,1216.35
17.2,4.7,18.5,3.3,7.8,43.7,135.15
15.7,0.2,11.5,4.5,4.7,33.7,2027.25
16.7,0.1,4.6,4.8,3.8,26.2,135.15
16.9,0.2,7.4,3.4,7.4,27.9,1081.2
9.9,1.4,10.5,2.5,5.6,24.4,946.05
13,0.4,9.3,3.6,6.6,27.3,405.45
12.6,0.8,13.6,3.8,7.6,32.5,946.05
13,3.2,12.7,3.4,6.6,32.6,2432.7
14.5,0.2,10.8,2.2,7.7,30.8,2027.25
15.5,2,9.2,4.1,8.4,31.1,540.6
15.8,0.1,15.1,3.9,5.8,37.4,270.3
14.4,2.6,9,3.8,8.1,31.1,540.6
12.5,2.9,12.3,3,7.1,32,2162.4
13.2,3.6,11,2.9,7,33.1,1486.65
12.7,0.4,11,2.5,5.2,27.1,946.05
11.6,0.3,13.2,1.1,5,28.7,2703
13.9,3.1,4.4,3.9,6.1,27.7,270.3
16.1,0.2,13.2,3.3,7.9,35.3,2027.25
12.5,0.7,21.3,3.3,6.2,38.6,1892.1
17.5,0.5,18.3,4.4,7.7,42,540.6
19.2,0.3,9.8,2,6.6,32,675.75
5.8,1.6,25.7,3.3,7.3,36.6,270.3
13.8,3,14.5,4.3,8.4,36.1,1351.5
11.3,2.2,12.3,2.4,6.8,28.9,1351.5
15.7,0.1,18.1,5.2,8,40.1,540.6
11.1,1.4,34.1,2.7,6.4,53.3,270.3
16,0.1,16,6.1,7.1,42.6,540.6
11.7,1.4,19.3,3.8,7,36.5,810.9
18.9,0.1,10.1,3.6,7.4,34.5,540.6
13.5,2.8,7.7,3.3,8.3,30.4,675.75
14.2,1.3,23.9,4.4,6.8,46.5,405.45
16.3,3.4,9.6,5.2,7.2,37.7,675.75
16.8,0.1,7.5,2.9,7,27.8,135.15
12.2,0.3,8.6,2.2,7,25.8,540.6
7.4,0.1,10.7,1.7,3.8,19.9,1351.5
17.2,0.1,8.9,3,8.4,32.4,1351.5
12.7,3.1,10.4,3.1,7.3,31.6,1621.8
11.3,0.1,18.6,3.9,7.2,37.4,810.9
12.2,0.9,12.2,2.5,5.1,28,270.3
13,0.9,12.9,3.5,7.2,33.1,675.75
11.7,0.4,24,4.6,7.6,40.7,270.3
12.4,1.5,16.5,3,7.5,33.4,135.15
14,0.2,21.4,2.2,7.7,42.6,1081.2
13.5,2.2,7.7,4.3,6.1,28.2,270.3
12.9,0.1,14.4,4.8,5.7,32.9,946.05
13.5,0.3,14.8,3.4,4,32,270.3
13.2,2.5,10.7,2.7,8,30.1,540.6
13,1.2,12.1,3.4,7.4,30.7,1756.95
10.7,0.2,7,2.4,5.6,22.2,2432.7
12.2,0.9,14.9,1,4,29,135.15
14.5,0.1,10.2,4.4,5,29.2,2297.55
13,2.4,8.5,3.3,9.6,28,1486.65
11.7,0.1,8.3,3.4,5,23.6,2297.55
11.5,2.5,11.6,3.1,8.1,30.5,2027.25
16.9,0.1,9.8,4.4,6.8,31.4,1351.5
15.3,0.1,18.1,3.1,5.3,36.8,1081.2
11,1.8,11.8,2.7,5.1,27.7,2162.4
11.3,2.4,10.4,2.7,7.3,28,1756.95
13.5,0.2,11.2,2.9,8.1,28.5,2567.85
15.7,0.2,10.7,3.3,6.9,30,675.75
16.4,0.4,12.2,2.5,7.2,31.5,810.9
12.5,3.3,15.2,3.2,7.9,35.8,1351.5
16.4,0.2,10.4,2.7,7.3,32.7,1081.2
13.6,4.1,25.2,1.9,8.4,49.5,270.3
17.1,0.2,14.5,1.7,7.6,34.9,1351.5
14.1,3.7,11.8,2.8,7.8,33.8,540.6
16.3,0.1,11,3.9,5.1,32.1,1081.2
15,0.1,8.3,3.8,8,44.3,270.3
12.2,0.1,19.6,2.8,6.4,34.8,1081.2
19.6,1.2,19.5,3.3,5.9,44.8,810.9
7.4,2.4,4.6,1.7,4.2,16.4,3108.45
13.2,2.4,19.5,4,7.4,39.6,1216.35
15.3,0.2,11.4,3.7,7.4,31.7,1081.2
14.2,0.2,22.4,5,6.1,41.8,270.3
15,0.7,15.3,3.3,7.1,36.1,675.75
14.4,3,7,2.9,7.9,28.6,810.9
16.5,0.2,10.3,2.4,7.6,30.6,1892.1
12.6,0.1,7.9,3.2,6.2,23.9,1756.95
15.9,0.2,15.5,2.5,8,34.4,1351.5
17.4,0.1,15.1,4.5,7.5,37.1,540.6
14.8,3.2,12.5,3.3,7.8,34.2,675.75
13.9,0.2,31.7,3.6,8.2,60.9,135.15
30.8,0.1,4.6,4.8,3.9,40.3,135.15
15.4,1.7,8.7,4,8.1,31.4,946.05
5.9,15.5,26.9,5.3,6.4,56.7,270.3
12.7,0.5,11.7,4.5,5.4,30.3,1351.5
11.5,0.3,13,2.4,6.7,29.7,1892.1
11.6,3.7,9.8,3.8,8.1,31.3,270.3
13.9,0.3,14.1,3.3,6.1,34,2297.55
14.1,0.2,16.2,4,6.3,34.5,1756.95
